β;mu;md;mπ^A;Δmπ^A;mπ^C;Δmπ^C;fπ^A;Δfπ^A;fπ^C;Δfπ^C;mAWI;ΔmAWI
6.900000000000000355e+00;-9.000000000000000222e-01;-8.800000000000000044e-01;6.357317215425140056e-01;4.275831757823999636e-03;6.260748142457249754e-01;3.213084083553999822e-03;1.202303434645159985e-01;2.348307678741000035e-03;1.137047696601189983e-01;1.490548880557999957e-03;9.637359602060199815e-02;3.426067012888999851e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-8.900000000000000133e-01;6.026910855091319741e-01;3.707242230092000056e-03;5.960302517355310359e-01;2.884625140526000161e-03;1.130380854189760031e-01;1.791218278785999948e-03;1.108863659694589998e-01;1.361472774796000000e-03;8.621371343547400146e-02;2.840360460969000057e-03
6.900000000000000355e+00;-9.000000000000000222e-01;-9.000000000000000222e-01;5.604620210130509816e-01;3.651939003673999786e-03;5.686282238747929485e-01;2.898582543564000042e-03;1.043083973164259937e-01;1.749267686135999892e-03;1.086246329136349997e-01;1.378954569828999902e-03;7.708880888795900665e-02;2.785482588575000085e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-5.000000000000000000e-01;1.025309658882040065e+00;2.634994474496000095e-03;7.384088153478419736e-01;4.643867717114000433e-03;1.385911291382170007e-01;1.959826418192000142e-03;9.265293826421899803e-02;1.647702462184999928e-03;2.740856051186330022e-01;6.902228483488000339e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-5.500000000000000444e-01;9.653931431961130238e-01;3.617064529160999870e-03;7.297146501663850371e-01;4.636310706570999883e-03;1.363177815247710034e-01;2.280903398399999980e-03;9.615023988137999522e-02;2.027109754448000196e-03;2.476274333821809892e-01;6.456514921631999887e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-5.999999999999999778e-01;9.033721533790189939e-01;3.407943887306000025e-03;7.022026395241519614e-01;5.069866886196999593e-03;1.308968326470970056e-01;1.967794360634999868e-03;9.351997049601899759e-02;1.741950830640999915e-03;2.161972557547950091e-01;5.915384644011000004e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-6.500000000000000222e-01;8.283149814266850264e-01;4.349087374520999895e-03;6.689824537187879505e-01;5.127534080697999930e-03;1.226000579695159937e-01;2.163010254825000010e-03;9.173331151225799784e-02;1.819942268539000022e-03;1.820492878603759968e-01;6.228723837539000205e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-6.999999999999999556e-01;7.502712729193999897e-01;3.275071081741999946e-03;6.420755578392000062e-01;4.813857251035999658e-03;1.165560365008160015e-01;1.813862024200999998e-03;9.396414032290299756e-02;1.637112494100999944e-03;1.490264493080840080e-01;4.363665720825999662e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-7.500000000000000000e-01;6.589571359259640548e-01;4.387041943269999814e-03;6.119996893068470056e-01;4.801515592011000241e-03;1.095389425313900017e-01;2.021296612016000062e-03;9.987804066056800434e-02;1.603909030371999988e-03;1.184320215598940046e-01;4.354833226420999799e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-8.000000000000000444e-01;5.417108923485739469e-01;7.169352098403999722e-03;5.315276210839759985e-01;4.405565312834000199e-03;9.204131334893199401e-02;2.748662851394999881e-03;9.090615413218799956e-02;1.706088519559999976e-03;7.897467896601799431e-02;3.861774519365999969e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-8.199999999999999512e-01;4.964102858280590169e-01;7.076113702990999808e-03;4.845080694227740237e-01;4.486183524326999711e-03;8.620954214085599365e-02;3.152297967926999921e-03;8.452821007638600115e-02;1.752528567277999907e-03;6.447258214522699760e-02;3.981804702029000283e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-8.299999999999999600e-01;4.724497602117400108e-01;6.541214067055999698e-03;4.692301930563230195e-01;5.182214990605000030e-03;8.511918663228600079e-02;2.660615563486999971e-03;8.506143057270300345e-02;1.948442247109000028e-03;6.066455418684400108e-02;4.139305935502999960e-03
7.049999999999999822e+00;-8.349999999999999645e-01;-8.349999999999999645e-01;4.445808436074790149e-01;6.201475805156999796e-03;4.472264931152489797e-01;5.077308837803999782e-03;7.695891825254499996e-02;2.166236963255999907e-03;8.066715573696299491e-02;1.526966425576999900e-03;5.102845157982700136e-02;2.884671306403999939e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-5.000000000000000000e-01;8.424893703146130175e-01;2.063149132912000215e-03;5.818585236012570050e-01;3.550182418951000011e-03;1.079682635473269980e-01;1.041447741238000048e-03;7.363874124841900126e-02;1.119176927321000091e-03;2.113803022345079885e-01;3.865127961982000020e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-5.500000000000000444e-01;7.779023240013640539e-01;2.427547933485999822e-03;5.658567376127969784e-01;3.838134197218000167e-03;1.032565600711399939e-01;1.102123670872000088e-03;7.422658377490599924e-02;1.089078790334999970e-03;1.810473403888570032e-01;3.622919717536999921e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-5.999999999999999778e-01;7.180372347834500513e-01;2.746269946301999835e-03;5.597878216273689533e-01;3.807728707646000198e-03;1.020562477864510043e-01;1.163948940920000053e-03;7.654550431041000358e-02;1.068301870220000026e-03;1.533155492273569898e-01;3.466097634134000099e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-6.500000000000000222e-01;6.379197851401650077e-01;2.835957074472999877e-03;5.421992918085899449e-01;3.873743456323000024e-03;9.286890960296699526e-02;1.156487946412999932e-03;7.909128315703900514e-02;1.129451240116000066e-03;1.269887587101460047e-01;3.040298259058999818e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-6.999999999999999556e-01;5.577107635298480526e-01;3.442766980750000191e-03;5.133926699504549607e-01;4.055205900472000011e-03;8.553709862270600373e-02;1.467235954652999991e-03;7.987076578168500474e-02;1.082855105680000096e-03;9.672807832833700548e-02;3.022282465180999890e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-7.299999999999999822e-01;4.844296357245109763e-01;5.080749022393999705e-03;4.456854595494950111e-01;5.445113035871000304e-03;7.792709249763199453e-02;2.575951901394000175e-03;6.864170294914799519e-02;2.134496755651999790e-03;7.771763765053099626e-02;3.890623523763000156e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-7.500000000000000000e-01;4.379419383030470070e-01;5.425115226127000256e-03;4.327070493878850121e-01;5.825435338165999878e-03;6.944276561127600556e-02;2.714942786455999853e-03;7.167223068847100587e-02;2.555216848790000002e-03;6.425681805054700435e-02;3.715927273563999957e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-7.700000000000000178e-01;3.956061188439919940e-01;8.471660374002000157e-03;3.874543941390730106e-01;5.943731494705999964e-03;6.874652266589899308e-02;3.508000113948999809e-03;6.507049099026400441e-02;2.267615167992999888e-03;5.434339116676800002e-02;3.597428631184999837e-03
7.200000000000000178e+00;-7.800000000000000266e-01;-7.800000000000000266e-01;3.822895696941899790e-01;5.796017966757999705e-03;3.885494330891510195e-01;4.560407193213000115e-03;6.679010625934500567e-02;2.300882831627000091e-03;6.806278999752199410e-02;1.788361763061000051e-03;4.891405605005900298e-02;2.825380649600999893e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-5.000000000000000000e-01;1.198454647061969913e+00;3.360402782796000076e-03;8.709938493893140121e-01;4.917867430444000133e-03;1.793988292931880113e-01;2.418277090793999849e-03;1.181593337516879949e-01;2.415546653573999794e-03;3.583893289758710021e-01;8.878327971424999562e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-5.500000000000000444e-01;1.143758589996830111e+00;4.103655364910000110e-03;8.570184604802310036e-01;5.327097663412000070e-03;1.688835210338660020e-01;2.802655205427999948e-03;1.159134951713269995e-01;2.951607816222999968e-03;3.140814871596059876e-01;7.449338487299000423e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-5.999999999999999778e-01;1.083653553538489911e+00;3.543290309141999914e-03;8.316260082691909750e-01;5.635515749110000389e-03;1.668407907213100005e-01;2.858175487152999922e-03;1.175933522840559992e-01;3.097450402934999892e-03;2.841631203001420136e-01;9.564941266212000776e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-6.500000000000000222e-01;1.030909155476799954e+00;3.926409673032999620e-03;8.074452227870380083e-01;6.814965043281999597e-03;1.638421395695759952e-01;2.239646303601999962e-03;1.145182464831979996e-01;3.271181634897999801e-03;2.574627627688150233e-01;7.585269987738000284e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-6.999999999999999556e-01;9.581402176415120264e-01;4.984675366768999763e-03;7.789947203764210348e-01;6.553197577273000424e-03;1.549495286493139945e-01;2.974369127199000176e-03;1.171107714476630063e-01;2.886376708655000092e-03;2.169719935996939908e-01;9.273670467254000599e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-7.500000000000000000e-01;8.699974603632779635e-01;5.117696921705000221e-03;7.515196596079759539e-01;6.711466789781000281e-03;1.427572089220859874e-01;3.149977151971000006e-03;1.180557332720099939e-01;3.404011709974999987e-03;1.795312397412769934e-01;7.488360275827999658e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-8.000000000000000444e-01;7.645202595085850428e-01;5.572665167967999836e-03;6.689870650846779787e-01;8.869238321907000830e-03;1.325677880298450073e-01;3.060603588746999785e-03;1.103845918289960010e-01;3.448057485719999843e-03;1.426204700477129994e-01;8.016110013423999661e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-8.499999999999999778e-01;6.579756026970393634e-01;4.506464898739234032e-03;6.292929064750298895e-01;4.629659867190384984e-03;1.208992076664101856e-01;2.045789778166024354e-03;1.123531352340632339e-01;1.661840922593974239e-03;1.055729792849919996e-01;3.714071552813000016e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-8.800000000000000044e-01;5.485219968843320082e-01;1.467916358354812156e-02;5.398940602171780068e-01;1.277253982765549044e-02;1.014443048429800043e-01;5.723694233585445781e-03;9.832555854572799792e-02;4.933801477728402655e-03;7.300864771808700249e-02;5.360990025216999869e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-9.000000000000000222e-01;4.780869475035972593e-01;8.893203288738174561e-03;4.844868901539346462e-01;6.045163076544820928e-03;9.085135614477846122e-02;3.000955293076598609e-03;9.486975173084921664e-02;2.202451212796578770e-03;5.707205371190900156e-02;3.398673511715999927e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-9.100000000000000311e-01;4.405704643346571858e-01;9.912378059908615729e-03;4.361768639830850280e-01;6.907478414313205153e-03;9.253862230216861051e-02;3.759079716534345986e-03;8.910183089845082061e-02;2.581512205397944529e-03;4.754648848364299851e-02;3.798483098731000006e-03
6.900000000000000355e+00;-9.200000000000000400e-01;-9.200000000000000400e-01;3.672229902075836439e-01;1.033145741237378318e-02;3.718369533524492621e-01;9.042770417099546196e-03;8.330591949820116693e-02;4.195286001241541052e-03;8.224920734698722147e-02;2.935051813320135351e-03;3.782048375259899897e-02;4.544051078120999593e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-5.000000000000000000e-01;9.994038702862030332e-01;3.646392700684000007e-03;6.895457930824040460e-01;4.520055244652000301e-03;1.348695079096079996e-01;2.313086993223000161e-03;8.618794827914799672e-02;1.489822184705000014e-03;2.613899127537610001e-01;8.243307390741999585e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-5.500000000000000444e-01;9.425433813814749762e-01;3.394644931520000072e-03;6.688759652147430179e-01;6.179584155320000036e-03;1.297958327347200069e-01;2.427294123089999978e-03;8.617642719057000411e-02;2.257150335393000133e-03;2.326705657671880034e-01;7.317240654568999726e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-5.999999999999999778e-01;8.750164654276869625e-01;3.850311181919000188e-03;6.618910014181329515e-01;6.993071236147000401e-03;1.280483808526219902e-01;2.406153981000999902e-03;9.060140405657099438e-02;2.372699191259999840e-03;2.044816266682739914e-01;6.922477985390000296e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-6.500000000000000222e-01;7.913479444167430543e-01;4.929346746712999841e-03;6.151028982474210371e-01;5.005715994523999603e-03;1.183599918621510011e-01;2.515797807925000077e-03;8.873720280916999603e-02;1.941075189805999916e-03;1.733989704583439873e-01;6.533973549658999951e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-6.999999999999999556e-01;7.302300110702699687e-01;4.649606622713999861e-03;6.017782127270669967e-01;5.415992606270000030e-03;1.161955390190519966e-01;2.567999400599000216e-03;8.824492697531799434e-02;1.896977116591999938e-03;1.380108873388579960e-01;6.235247907993999618e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-7.500000000000000000e-01;6.222459830265568703e-01;4.961567909669575838e-03;5.520600488998868016e-01;6.614362620913962106e-03;1.025423618785213098e-01;2.281690162734173206e-03;8.795925768990950355e-02;1.899462403052046364e-03;1.064953924276469954e-01;4.995570122043000230e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-8.000000000000000444e-01;4.981854904050296851e-01;5.758413811370786083e-03;4.737090858873061472e-01;6.206681367839447620e-03;8.890835722859796730e-02;2.227062776725793631e-03;8.202570829138740305e-02;1.762837668267944408e-03;7.162199439225000464e-02;3.292527201223000022e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-8.299999999999999600e-01;4.259161976291875318e-01;9.135085497599428062e-03;4.113702701854282662e-01;7.581731461713448264e-03;7.904933300949941455e-02;2.817816613904406808e-03;8.164487042976385778e-02;2.058149910708712872e-03;4.741685956189699985e-02;3.007421423045000212e-03
7.049999999999999822e+00;-8.499999999999999778e-01;-8.499999999999999778e-01;3.597290818971269344e-01;3.689367201974197430e-02;3.667549576582501136e-01;3.731779176530149872e-02;7.004645877693960188e-02;1.415499253902135178e-02;6.887873771384260546e-02;1.384637668852976844e-02;3.509865490364499907e-02;2.289223351669999931e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-4.500000000000000111e-01;8.740823909641789458e-01;4.424612615128000262e-03;5.503446110255909574e-01;7.024721817597999983e-03;1.083124738992059938e-01;2.259440553211000159e-03;7.046370804241600116e-02;2.577130399069000027e-03;2.269774995304960075e-01;7.145256101257000184e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-5.000000000000000000e-01;8.225730898820839965e-01;4.830100167246999601e-03;5.352299285856220168e-01;8.124728596616000859e-03;1.065045687171640026e-01;2.280543471210999800e-03;7.080083707814499583e-02;2.132079467194999967e-03;2.012355190275119943e-01;7.354806775553999684e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-5.500000000000000444e-01;7.553558828283459814e-01;3.978600066988999956e-03;5.060122203343679903e-01;7.516390518917000045e-03;9.967877314535600330e-02;2.150414841310000196e-03;6.646615708356799768e-02;2.660617640051999785e-03;1.722256916761190082e-01;6.571154751927999957e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-5.999999999999999778e-01;6.857148428864849876e-01;2.542395809383000103e-03;5.098411888452030194e-01;4.210859762062000265e-03;9.541252508724999692e-02;1.152012938079999965e-03;7.006916198244199367e-02;1.032667857502999947e-03;1.438012623753970043e-01;3.217628078031999853e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-6.500000000000000222e-01;6.129709794612649976e-01;2.641270886273000117e-03;4.883992076788529757e-01;4.451040351442000359e-03;9.047271657823000024e-02;1.093170965162000097e-03;7.125367346911899713e-02;9.780947040649999764e-04;1.172079789286080004e-01;2.873505432072999931e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-6.999999999999999556e-01;5.213274477155546149e-01;5.258841709112021916e-03;4.511446775755013627e-01;7.062843206855783443e-03;8.004314191256117761e-02;1.826294207021936927e-03;7.149889046361300460e-02;1.597747062316935956e-03;8.616934990218599877e-02;2.748408756569000085e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-7.500000000000000000e-01;4.151686440219837237e-01;4.026042039459746744e-03;3.910680856523987559e-01;4.515798090865528330e-03;7.261931475327940144e-02;1.463500500324186118e-03;6.975206696884192481e-02;1.234281407588454574e-03;5.891111758845399976e-02;2.534812574820000195e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-7.700000000000000178e-01;3.500008849595875327e-01;8.181178911705833112e-03;3.349668538707760712e-01;7.060077497446544566e-03;6.666633690602696838e-02;2.139748380377157633e-03;6.553158471564125842e-02;1.436957090701975219e-03;4.323610744386899990e-02;2.772176326622000173e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-7.800000000000000266e-01;3.243874076647780269e-01;3.347058631082911601e-02;3.317268000615249957e-01;3.386201356155420922e-02;5.948604583268100182e-02;1.221877729573645800e-02;6.182222592699700148e-02;1.252449833327593312e-02;3.900109954036699855e-02;2.622852455016999942e-03
7.200000000000000178e+00;-7.940000000000000391e-01;-7.940000000000000391e-01;2.820324852014539641e-01;8.564617758535586836e-03;2.808008132441383031e-01;8.121843929550389904e-03;5.796518558317755726e-02;2.298650209733858925e-03;5.725699316197032512e-02;1.810742808616100895e-03;3.215181987010899689e-02;2.328759781590999944e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-5.000000000000000000e-01;1.268422262494039998e+00;1.829384476333000041e-03;1.004465192034220022e+00;2.581196340269000054e-03;1.852626344840309913e-01;1.261855913814999893e-03;1.317653251611629883e-01;1.267134989173000076e-03;3.999055237867780166e-01;5.309891328146999767e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-5.500000000000000444e-01;1.219469702870559891e+00;1.901808655737999981e-03;9.922467066441540418e-01;2.526301233260000185e-03;1.797825874870880025e-01;1.474285341218999979e-03;1.337270622500429940e-01;1.385794628629999923e-03;3.609918263046280051e-01;5.602286141365000159e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-5.999999999999999778e-01;1.173277973885519909e+00;2.163805846815000048e-03;9.795721817982799839e-01;2.374810230166000177e-03;1.809477675922890050e-01;1.560220957022000025e-03;1.354729082510799931e-01;1.140419019287999955e-03;3.336670062088260003e-01;5.213138598694999799e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-6.500000000000000222e-01;1.115097816433479938e+00;2.037446701740999993e-03;9.577052651951150075e-01;2.648015728879000216e-03;1.769993712594760127e-01;1.504954558156999973e-03;1.355472610015540091e-01;1.241113253117000085e-03;2.998800297878149723e-01;5.279811967195000011e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-6.999999999999999556e-01;1.046899312126980064e+00;2.211771151547999806e-03;9.390155743817240053e-01;3.022173868735000130e-03;1.661287081914019914e-01;1.535109991369999977e-03;1.379269304284909958e-01;1.618645222241999913e-03;2.603970939054450207e-01;4.849980249609000399e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-7.500000000000000000e-01;9.801834982145609665e-01;2.611459782588000048e-03;9.101238735435419613e-01;3.091225894934000133e-03;1.618395121498429901e-01;1.911617649845999932e-03;1.406244175826139864e-01;1.585697674476999920e-03;2.256858422750570026e-01;5.330778902012000241e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-8.000000000000000444e-01;8.964160196947289494e-01;3.116224402028000204e-03;8.696798469416180399e-01;2.714013649080999815e-03;1.517598945503020047e-01;1.940417604154000102e-03;1.432437482027980047e-01;1.531581772662000095e-03;1.870122298394520099e-01;4.852135887704000193e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-8.299999999999999600e-01;8.286298725533239873e-01;4.597503207465000220e-03;8.176175262672960020e-01;3.774669876830000128e-03;1.425903408329290134e-01;2.585588571306000113e-03;1.381612351035760022e-01;2.376276688655999930e-03;1.636679681696560085e-01;7.094925012310000431e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-8.399999999999999689e-01;8.121022978318870322e-01;3.147478673609999805e-03;8.011969969059400398e-01;3.530663298103000041e-03;1.422797626440659990e-01;2.189850085567999864e-03;1.379879215339419873e-01;1.667015546571000038e-03;1.561116599152450046e-01;4.957136054669000237e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-8.499999999999999778e-01;7.896904075256510058e-01;3.715302400837000064e-03;7.861531487329840306e-01;2.750452760697000201e-03;1.386264539330550050e-01;2.185066961410000053e-03;1.352719807763229920e-01;1.568409562793999980e-03;1.497009643369330012e-01;4.343921536580999838e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-8.599999999999999867e-01;7.700622956154330456e-01;3.658039228326000116e-03;7.635961833448090541e-01;3.161897589994999789e-03;1.344535389945790138e-01;1.974669731446000200e-03;1.341535592431619961e-01;1.861799317399000014e-03;1.373047857853320064e-01;4.598556520797000315e-03
6.900000000000000355e+00;-8.699999999999999956e-01;-8.699999999999999956e-01;7.416715319056219613e-01;2.546626109000999817e-03;7.425403233144479698e-01;1.900362508636999981e-03;1.308312073903840078e-01;1.469800252334000105e-03;1.303379813978829960e-01;9.409881236970000411e-04;1.294957462305640072e-01;2.860551954227999807e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-4.500000000000000111e-01;1.137289964409960108e+00;4.211933902388000431e-03;8.618949934796239498e-01;3.522208382983000111e-03;1.512433371320819897e-01;2.620748028758999957e-03;1.078815181014129987e-01;1.710200260331999926e-03;3.398075537184470085e-01;9.438553782156000257e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-5.000000000000000000e-01;1.080473967512709965e+00;3.623109866051999872e-03;8.408622414016260205e-01;4.484250014152000273e-03;1.434655369835990124e-01;2.304596369828999791e-03;1.024729127111719956e-01;1.784538434039999915e-03;3.036150741098210259e-01;9.019594559440999304e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-5.500000000000000444e-01;1.029113834157439955e+00;1.913106373722000099e-03;8.326889221484380377e-01;2.503109888568999953e-03;1.443138077894420002e-01;1.193891690712999909e-03;1.058538134677819986e-01;1.034165248128000002e-03;2.766262055155230271e-01;4.115351526515999801e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-5.999999999999999778e-01;9.680899422950199895e-01;2.748002527023000151e-03;8.160905013069650327e-01;3.171436630253000096e-03;1.391287273609239927e-01;1.758092071519999936e-03;1.051256384536059935e-01;1.366494766310000046e-03;2.439246708093580074e-01;5.197912182910000359e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-6.500000000000000222e-01;8.953040916705989893e-01;2.408249699508000028e-03;7.991958705447419486e-01;2.447939965158000067e-03;1.325493045447329876e-01;1.320990496473999900e-03;1.124799364871059970e-01;1.101808858913000096e-03;2.126286687550019983e-01;4.009102670867999672e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-6.999999999999999556e-01;8.190196316437440283e-01;2.767883817417000035e-03;7.689059325017509883e-01;2.574303405597000004e-03;1.268884287622600027e-01;1.377238402856999959e-03;1.140175554653009987e-01;1.081262239752000089e-03;1.776883045159509955e-01;3.924124877875000313e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-7.500000000000000000e-01;7.325290458861809517e-01;3.107330134499999841e-03;7.226494572524050364e-01;2.606414448628999875e-03;1.174999443578979980e-01;1.522447020609000090e-03;1.152074112605890044e-01;1.266172044312999971e-03;1.464969000720680037e-01;3.559295131062999943e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-7.800000000000000266e-01;6.704788332196129907e-01;3.197272563805999852e-03;6.718327553122029894e-01;2.542485631676999914e-03;1.107643546691489955e-01;1.674228020808999967e-03;1.085920070210689981e-01;1.031394366587999904e-03;1.233073182150089958e-01;3.470540405030999882e-03
7.049999999999999822e+00;-8.000000000000000444e-01;-8.000000000000000444e-01;6.260249681384619791e-01;5.562535531214000267e-03;6.315862074070079935e-01;3.350360733078999991e-03;1.029107936732659989e-01;2.416513012045999956e-03;1.061724533821649941e-01;1.387794582400000108e-03;1.053568462428279978e-01;4.397927186207999800e-03
7.200000000000000178e+00;-7.500000000000000000e-01;-4.500000000000000111e-01;9.502870340461430088e-01;4.509207894699000102e-03;6.961031909124839601e-01;5.404006104336000170e-03;1.170640124527709963e-01;2.447559265614000171e-03;8.273413964740000681e-02;1.676029988450999974e-03;2.622949785701400027e-01;8.288303819086999952e-03
7.200000000000000178e+00;-7.500000000000000000e-01;-5.000000000000000000e-01;9.033412012230980226e-01;4.290126375785000348e-03;6.813558753287779490e-01;7.243133806376000385e-03;1.196149336654200035e-01;1.997099410823999829e-03;8.275793268022900440e-02;2.263625545742999848e-03;2.357261618731419928e-01;7.371165300855999671e-03
7.200000000000000178e+00;-7.500000000000000000e-01;-5.500000000000000444e-01;8.349355077547320203e-01;2.027095545294000083e-03;6.700013389378950412e-01;2.746523067650000031e-03;1.116100210396859943e-01;1.050521150456999947e-03;8.455526741325800066e-02;9.283584298429999569e-04;2.031098644128299935e-01;3.473826805636999991e-03
